Home,Away,Home_Goals,Away_Goals
Kawasari Foresta,Kashirama,0,1
Kashirama,Urawind,0,1
Urawind,Kashirama,1,2
Yomoyama Mystic,Urawind,3,2
Hirostar,Ablihex Nimbus,1,1
Kashirama,FC Torii,0,1
Savan Taurus,Kashiwave,1,3
Shimizun,Koban,0,1
Vegalia Senda,Sapporia,1,0
C-Osario,Iwana,0,0
Obiya Arcadia,Kawasari Foresta,0,2
G-Olympus,Kofox,1,1
Hirostar,Shimizun,0,1
Kofox,Kashirama,0,1
Urawind,C-Osario,3,1
FC Torii,Obiya Arcadia,2,0
Iwana,Vegalia Senda,0,1
Koban,Ablihex Nimbus,2,1
Yomoyama Mystic,Sapporia,3,0
Kashiwave,G-Olympus,1,3
Kawasari Foresta,Savan Taurus,1,1
Kashirama,Yomoyama Mystic,1,0
Kawasari Foresta,Kashiwave,2,1
Urawind,Kofox,4,1
Obiya Arcadia,Iwana,1,2
Savan Taurus,Hirostar,1,0
Sapporia,C-Osario,1,1
Ablihex Nimbus,Shimizun,0,2
Vegalia Senda,Koban,0,2
G-Olympus,FC Torii,3,0
Kofox,Obiya Arcadia,1,0
Sapporia,Hirostar,2,1
Shimizun,Kashirama,2,3
Yomoyama Mystic,Ablihex Nimbus,1,1
C-Osario,Savan Taurus,1,0
Kashiwave,Vegalia Senda,0,1
Koban,Iwana,1,0
FC Torii,Kawasari Foresta,3,0
G-Olympus,Urawind,1,1
Ablihex Nimbus,G-Olympus,2,3
Hirostar,Kashiwave,0,2
Vegalia Senda,Kawasari Foresta,0,2
C-Osario,Yomoyama Mystic,2,0
Iwana,Shimizun,3,1
FC Torii,Savan Taurus,3,3
Koban,Urawind,1,3
Obiya Arcadia,Kashirama,0,1
Kofox,Sapporia,2,0
G-Olympus,Hirostar,0,1
Urawind,Vegalia Senda,7,0
Kawasari Foresta,Kofox,1,1
Kashirama,C-Osario,0,1
Kashiwave,Shimizun,0,2
Obiya Arcadia,Koban,0,2
Savan Taurus,Ablihex Nimbus,3,0
Sapporia,FC Torii,2,1
Yomoyama Mystic,Iwana,2,1
Kofox,Ablihex Nimbus,0,2
Shimizun,Obiya Arcadia,1,1
Sapporia,Kawasari Foresta,1,1
C-Osario,G-Olympus,2,2
FC Torii,Urawind,0,1
Iwana,Savan Taurus,2,1
Koban,Kashiwave,1,2
Hirostar,Yomoyama Mystic,0,1
Vegalia Senda,Kashirama,1,4
G-Olympus,Obiya Arcadia,6,0
Kawasari Foresta,Shimizun,2,2
Hirostar,Vegalia Senda,3,3
Kofox,C-Osario,1,1
Urawind,Sapporia,3,2
Kashirama,Iwana,0,3
Kashiwave,Yomoyama Mystic,2,0
Ablihex Nimbus,FC Torii,0,3
Savan Taurus,Koban,1,0
Shimizun,Vegalia Senda,0,3
Ablihex Nimbus,Kashiwave,0,1
FC Torii,Hirostar,1,0
Iwana,Sapporia,2,2
Obiya Arcadia,Urawind,1,0
Kashirama,Savan Taurus,2,1
Koban,Kofox,0,1
Yomoyama Mystic,G-Olympus,0,1
C-Osario,Kawasari Foresta,2,0
Urawind,Kashirama,0,1
G-Olympus,Shimizun,1,1
Kawasari Foresta,Ablihex Nimbus,3,0
Sapporia,Obiya Arcadia,1,0
Kashiwave,C-Osario,1,0
Hirostar,Koban,1,1
Kofox,Iwana,0,0
Vegalia Senda,FC Torii,0,2
Savan Taurus,Yomoyama Mystic,1,0
Shimizun,Savan Taurus,1,1
Ablihex Nimbus,Urawind,1,6
Kashirama,Koban,1,2
Yomoyama Mystic,Kofox,1,0
C-Osario,Hirostar,5,2
FC Torii,Kashiwave,1,2
Iwana,Kawasari Foresta,0,2
Obiya Arcadia,Vegalia Senda,2,1
Sapporia,G-Olympus,0,2
Kashirama,Kawasari Foresta,0,3
Ablihex Nimbus,Sapporia,1,0
Iwana,Kashiwave,0,2
Kofox,Hirostar,1,2
Urawind,Shimizun,3,3
Yomoyama Mystic,Vegalia Senda,1,1
Obiya Arcadia,C-Osario,0,3
G-Olympus,Savan Taurus,3,0
Koban,FC Torii,1,1
Hirostar,Iwana,0,0
Shimizun,Yomoyama Mystic,1,3
Kashiwave,Obiya Arcadia,4,2
Savan Taurus,Sapporia,1,0
Vegalia Senda,Ablihex Nimbus,2,1
FC Torii,Kofox,1,1
Koban,C-Osario,1,2
Sapporia,Koban,1,2
Shimizun,FC Torii,0,2
Hirostar,Kashirama,1,3
C-Osario,Ablihex Nimbus,4,0
Iwana,G-Olympus,3,0
Vegalia Senda,Kofox,3,0
Obiya Arcadia,Savan Taurus,1,1
Yomoyama Mystic,Kawasari Foresta,2,0
Kashiwave,Urawind,1,0
Kashirama,Sapporia,3,0
Ablihex Nimbus,Obiya Arcadia,1,2
C-Osario,Shimizun,1,1
Kawasari Foresta,Hirostar,1,0
Koban,G-Olympus,0,1
Kofox,Kashiwave,0,0
Savan Taurus,Vegalia Senda,1,1
FC Torii,Yomoyama Mystic,0,1
Urawind,Iwana,2,4
Iwana,FC Torii,2,0
Shimizun,Kofox,1,0
Vegalia Senda,C-Osario,2,4
Yomoyama Mystic,Koban,2,0
Hirostar,Obiya Arcadia,0,3
Kashirama,Ablihex Nimbus,2,0
G-Olympus,Kawasari Foresta,1,1
Kashiwave,Sapporia,2,1
Savan Taurus,Urawind,2,1
Sapporia,Shimizun,1,0
Ablihex Nimbus,Iwana,0,2
Kawasari Foresta,Koban,5,0
Obiya Arcadia,Yomoyama Mystic,1,2
Urawind,Hirostar,4,3
Vegalia Senda,G-Olympus,2,3
Kofox,Savan Taurus,0,0
Kashiwave,Kashirama,2,3
C-Osario,FC Torii,3,1
G-Olympus,Kashirama,0,1
Kawasari Foresta,Urawind,4,1
Shimizun,G-Olympus,2,0
C-Osario,Kashiwave,2,1
FC Torii,Kashirama,2,2
Iwana,Kofox,1,0
Koban,Vegalia Senda,3,0
Obiya Arcadia,Sapporia,2,2
Savan Taurus,Kawasari Foresta,2,3
Yomoyama Mystic,Hirostar,1,1
Urawind,Ablihex Nimbus,2,1
C-Osario,Urawind,4,2
Sapporia,Urawind,2,0
Kashirama,Kofox,3,0
G-Olympus,C-Osario,3,1
Kawasari Foresta,Iwana,2,5
Koban,Obiya Arcadia,3,1
Yomoyama Mystic,Shimizun,2,2
Hirostar,Savan Taurus,0,1
Vegalia Senda,Kashiwave,1,1
FC Torii,Ablihex Nimbus,1,1
Kofox,G-Olympus,1,0
Kashirama,Vegalia Senda,2,0
Ablihex Nimbus,Yomoyama Mystic,0,2
C-Osario,Sapporia,3,1
Iwana,Hirostar,2,3
Kashiwave,Koban,3,1
Kawasari Foresta,FC Torii,1,1
Savan Taurus,Shimizun,2,1
Urawind,Obiya Arcadia,2,2
Ablihex Nimbus,Kawasari Foresta,0,2
Hirostar,G-Olympus,2,2
Kashiwave,Savan Taurus,0,0
Koban,Kashirama,1,2
Kofox,Urawind,0,1
Obiya Arcadia,FC Torii,1,2
Sapporia,Yomoyama Mystic,0,2
Shimizun,C-Osario,3,2
Vegalia Senda,Iwana,0,0
Sapporia,Kofox,1,1
Shimizun,Kashiwave,1,4
G-Olympus,Iwana,0,2
FC Torii,Koban,1,0
Kawasari Foresta,Kashirama,3,1
Obiya Arcadia,Ablihex Nimbus,1,0
Vegalia Senda,Hirostar,1,0
Yomoyama Mystic,Savan Taurus,1,0
Iwana,C-Osario,1,1
Kashirama,Shimizun,2,0
Ablihex Nimbus,Vegalia Senda,1,2
G-Olympus,Kashiwave,0,1
Hirostar,Kofox,1,0
Kawasari Foresta,Sapporia,2,1
Savan Taurus,Obiya Arcadia,3,0
Urawind,FC Torii,2,1
Koban,Yomoyama Mystic,0,0
Sapporia,Vegalia Senda,1,0
C-Osario,Kashirama,0,1
Iwana,Koban,2,1
Kashiwave,Ablihex Nimbus,1,1
Obiya Arcadia,Hirostar,1,1
Savan Taurus,G-Olympus,1,3
Yomoyama Mystic,FC Torii,1,0
Kofox,Kawasari Foresta,2,2
Shimizun,Urawind,1,2
Sapporia,Iwana,2,1
Kofox,Shimizun,0,1
Kashirama,Obiya Arcadia,1,0
Ablihex Nimbus,Hirostar,0,0
FC Torii,C-Osario,1,4
G-Olympus,Koban,1,2
Kawasari Foresta,Yomoyama Mystic,3,0
Urawind,Kashiwave,1,2
Vegalia Senda,Savan Taurus,4,1
Ablihex Nimbus,Kashirama,2,4
Obiya Arcadia,G-Olympus,2,2
Shimizun,Kawasari Foresta,0,3
Hirostar,C-Osario,1,0
FC Torii,Vegalia Senda,1,0
Koban,Sapporia,2,0
Savan Taurus,Kofox,2,1
Yomoyama Mystic,Kashiwave,1,1
Iwana,Urawind,1,1
Sapporia,Ablihex Nimbus,2,2
Shimizun,Hirostar,1,3
Iwana,Obiya Arcadia,2,1
Kashiwave,FC Torii,4,1
Urawind,Savan Taurus,2,2
Kofox,Yomoyama Mystic,3,2
C-Osario,Vegalia Senda,1,4
Kashirama,G-Olympus,2,1
Koban,Kawasari Foresta,0,0
Savan Taurus,Kashirama,1,0
Ablihex Nimbus,Koban,0,2
FC Torii,Iwana,0,0
Hirostar,Sapporia,1,1
Kashiwave,Kofox,0,1
G-Olympus,Yomoyama Mystic,1,2
Kawasari Foresta,C-Osario,5,1
Obiya Arcadia,Shimizun,0,0
Vegalia Senda,Urawind,2,3
Sapporia,Kashiwave,3,0
G-Olympus,Ablihex Nimbus,0,1
Shimizun,Iwana,0,3
Yomoyama Mystic,Obiya Arcadia,1,1
Kashirama,Hirostar,2,0
Kawasari Foresta,Vegalia Senda,3,2
Urawind,Koban,1,1
Kofox,FC Torii,1,1
Savan Taurus,C-Osario,1,2
C-Osario,Kofox,2,0
Hirostar,Kawasari Foresta,0,3
Koban,Savan Taurus,1,2
Obiya Arcadia,Kashiwave,1,1
Vegalia Senda,Shimizun,0,0
Iwana,Ablihex Nimbus,2,2
FC Torii,Sapporia,1,2
Yomoyama Mystic,Kashirama,3,2
Urawind,G-Olympus,3,3
Ablihex Nimbus,Savan Taurus,1,0
Iwana,Yomoyama Mystic,2,1
C-Osario,Obiya Arcadia,2,1
G-Olympus,Vegalia Senda,1,1
Hirostar,Urawind,0,1
Kashiwave,Kawasari Foresta,2,2
Kofox,Koban,2,3
Sapporia,Kashirama,1,2
FC Torii,Shimizun,0,0
Kashirama,Urawind,1,0
Ablihex Nimbus,Kofox,1,0
Kashiwave,Iwana,1,0
Kawasari Foresta,G-Olympus,1,0
Koban,Hirostar,1,2
Savan Taurus,FC Torii,2,1
Vegalia Senda,Obiya Arcadia,3,0
Yomoyama Mystic,C-Osario,1,4
Shimizun,Sapporia,0,2
C-Osario,Koban,3,1
G-Olympus,Sapporia,0,1
Hirostar,FC Torii,2,1
Kashirama,Kashiwave,0,0
Obiya Arcadia,Kofox,0,0
Savan Taurus,Iwana,0,2
Shimizun,Ablihex Nimbus,2,3
Vegalia Senda,Yomoyama Mystic,2,2
Urawind,Kawasari Foresta,0,1
Ablihex Nimbus,C-Osario,1,0
FC Torii,G-Olympus,0,0
Iwana,Kashirama,0,0
Kashiwave,Hirostar,1,0
Kawasari Foresta,Obiya Arcadia,5,0
Koban,Shimizun,1,3
Kofox,Vegalia Senda,1,0
Sapporia,Savan Taurus,3,2
Urawind,Yomoyama Mystic,0,1
Savan Taurus,Koban,1,1
FC Torii,Urawind,1,1
Hirostar,Sapporia,1,0
G-Olympus,Nagomi,2,3
Shonara,V-Valor Nagano,2,1
Shimizun,Kashirama,0,0
Vegalia Senda,Kashiwave,1,0
Iwana,Kawasari Foresta,0,3
C-Osario,Yomoyama Mystic,1,1
C-Osario,Sapporia,3,3
Kawasari Foresta,Shonara,1,1
Kashiwave,Yomoyama Mystic,2,0
Nagomi,Iwana,1,0
FC Torii,Vegalia Senda,0,1
Kashirama,G-Olympus,1,0
Koban,Shimizun,2,4
V-Valor Nagano,Savan Taurus,2,2
Urawind,Hirostar,1,2
Kawasari Foresta,G-Olympus,2,0
Yomoyama Mystic,Savan Taurus,1,2
Vegalia Senda,Koban,1,1
V-Valor Nagano,Urawind,1,1
Iwana,FC Torii,2,0
Kashirama,Hirostar,0,1
Kashiwave,C-Osario,1,1
Sapporia,Shimizun,1,3
Shonara,Nagomi,0,0
Sapporia,V-Valor Nagano,2,1
Shimizun,Vegalia Senda,1,1
FC Torii,Shonara,1,0
G-Olympus,Kashiwave,2,2
Hirostar,Iwana,0,0
Koban,C-Osario,2,0
Savan Taurus,Kashirama,0,1
Urawind,Yomoyama Mystic,0,1
Nagomi,Kawasari Foresta,0,1
Kashiwave,Koban,2,1
Shimizun,Yomoyama Mystic,0,1
Vegalia Senda,V-Valor Nagano,1,0
FC Torii,G-Olympus,3,2
Kashirama,Sapporia,0,0
Kawasari Foresta,Hirostar,0,1
C-Osario,Shonara,2,1
Savan Taurus,Nagomi,3,2
Iwana,Urawind,2,1
Sapporia,Nagomi,3,0
C-Osario,Savan Taurus,2,1
Iwana,Shimizun,0,0
Urawind,Vegalia Senda,1,0
Shonara,Kashirama,2,1
V-Valor Nagano,FC Torii,2,5
G-Olympus,Koban,0,1
Kashiwave,Hirostar,0,1
Yomoyama Mystic,Kawasari Foresta,1,1
FC Torii,Kashirama,2,1
G-Olympus,Iwana,2,0
Hirostar,Yomoyama Mystic,3,1
Kawasari Foresta,C-Osario,1,2
Koban,Urawind,2,3
Nagomi,Vegalia Senda,2,3
Sapporia,Shonara,1,0
Shimizun,V-Valor Nagano,0,1
Savan Taurus,Kashiwave,1,2
Kashirama,Nagomi,2,0
Kashiwave,Sapporia,1,2
V-Valor Nagano,G-Olympus,3,0
C-Osario,FC Torii,1,0
Vegalia Senda,Kawasari Foresta,0,0
Yomoyama Mystic,Koban,1,2
Iwana,Savan Taurus,1,0
Shonara,Hirostar,0,2
Urawind,Shimizun,2,1
Shimizun,FC Torii,0,1
Hirostar,Savan Taurus,1,0
Vegalia Senda,Iwana,0,3
Kawasari Foresta,Kashirama,4,1
Koban,Nagomi,3,0
Urawind,Sapporia,0,0
Yomoyama Mystic,Shonara,4,4
G-Olympus,C-Osario,1,0
V-Valor Nagano,Kashiwave,1,0
C-Osario,Vegalia Senda,2,1
FC Torii,Hirostar,3,1
Iwana,V-Valor Nagano,1,2
Kashirama,Koban,1,1
Kashiwave,Urawind,1,0
Nagomi,Shimizun,1,3
Savan Taurus,Kawasari Foresta,0,2
Sapporia,Yomoyama Mystic,2,1
Shonara,G-Olympus,1,0
V-Valor Nagano,Hirostar,0,2
Shimizun,Kashiwave,2,1
Vegalia Senda,Sapporia,2,2
FC Torii,Nagomi,3,2
Iwana,C-Osario,1,1
Koban,Kawasari Foresta,1,2
Urawind,Shonara,0,1
Yomoyama Mystic,Kashirama,3,0
G-Olympus,Savan Taurus,3,0
G-Olympus,Vegalia Senda,1,0
Kashirama,V-Valor Nagano,2,1
Kawasari Foresta,Urawind,0,2
Koban,FC Torii,0,0
Nagomi,C-Osario,0,0
Shonara,Kashiwave,1,2
Yomoyama Mystic,Iwana,1,3
Hirostar,Shimizun,2,0
Savan Taurus,Sapporia,1,2
Kashiwave,Iwana,1,2
Kawasari Foresta,FC Torii,0,2
Sapporia,G-Olympus,2,0
C-Osario,V-Valor Nagano,3,1
Kashirama,Urawind,1,0
Nagomi,Yomoyama Mystic,1,1
Savan Taurus,Shimizun,3,1
Shonara,Vegalia Senda,1,3
Hirostar,Koban,2,0
Iwana,Koban,0,2
Shimizun,Shonara,4,2
V-Valor Nagano,Nagomi,3,0
Kashiwave,Kawasari Foresta,1,2
Vegalia Senda,Hirostar,1,3
Yomoyama Mystic,G-Olympus,1,1
Urawind,Savan Taurus,0,0
FC Torii,Sapporia,0,0
G-Olympus,Urawind,0,0
Yomoyama Mystic,V-Valor Nagano,5,2
Shonara,Iwana,1,0
Kashirama,Vegalia Senda,1,2
Nagomi,Kashiwave,2,3
Kawasari Foresta,Shimizun,3,0
Savan Taurus,FC Torii,0,0
Hirostar,C-Osario,0,2
Koban,Sapporia,4,0
Hirostar,G-Olympus,4,0
Iwana,Kashirama,3,3
Kashiwave,FC Torii,0,1
Sapporia,Kawasari Foresta,1,2
Shimizun,C-Osario,3,0
Shonara,Savan Taurus,1,1
Vegalia Senda,Yomoyama Mystic,2,8
V-Valor Nagano,Koban,0,1
Urawind,Nagomi,3,1
Koban,Shonara,0,3
Nagomi,Hirostar,0,0
Kashirama,Kashiwave,6,2
C-Osario,Urawind,1,1
FC Torii,Yomoyama Mystic,5,2
G-Olympus,Shimizun,1,2
Kawasari Foresta,V-Valor Nagano,1,0
Savan Taurus,Vegalia Senda,0,1
Sapporia,Iwana,0,0
C-Osario,Kashirama,0,2
FC Torii,V-Valor Nagano,0,1
G-Olympus,Kashirama,1,1
Hirostar,Urawind,1,4
Koban,Kashiwave,1,0
Savan Taurus,Iwana,0,0
Vegalia Senda,C-Osario,2,2
C-Osario,Koban,1,1
Iwana,G-Olympus,1,1
Kashirama,FC Torii,1,2
Shimizun,Savan Taurus,1,0
Urawind,Kawasari Foresta,2,0
Vegalia Senda,Nagomi,1,2
V-Valor Nagano,Sapporia,2,3
Kashiwave,Shonara,0,2
Yomoyama Mystic,Hirostar,1,4
Sapporia,Kashiwave,1,2
Nagomi,G-Olympus,3,2
Kashirama,Shimizun,1,0
FC Torii,Koban,1,0
Hirostar,Shonara,2,2
Iwana,Vegalia Senda,3,2
Kawasari Foresta,Yomoyama Mystic,2,0
Savan Taurus,C-Osario,1,0
Urawind,V-Valor Nagano,0,0
G-Olympus,FC Torii,2,1
Sapporia,C-Osario,1,1
Nagomi,Kashirama,4,2
Shimizun,Kawasari Foresta,1,2
Hirostar,V-Valor Nagano,2,0
Kashiwave,Vegalia Senda,0,2
Koban,Iwana,2,1
Savan Taurus,Urawind,1,0
Shonara,Yomoyama Mystic,0,1
C-Osario,Shimizun,3,1
FC Torii,Kashiwave,0,1
G-Olympus,Sapporia,1,1
Kawasari Foresta,Savan Taurus,0,0
Koban,Hirostar,1,1
Urawind,Iwana,4,0
Vegalia Senda,Shonara,4,1
V-Valor Nagano,Kashirama,1,2
Yomoyama Mystic,Nagomi,1,2
Sapporia,FC Torii,3,2
Nagomi,Savan Taurus,3,0
Shimizun,Urawind,3,3
V-Valor Nagano,C-Osario,0,2
Kashirama,Yomoyama Mystic,1,0
Hirostar,Kawasari Foresta,1,2
Iwana,Kashiwave,2,0
Shonara,Koban,0,2
Vegalia Senda,G-Olympus,2,1
Kashirama,Iwana,1,1
C-Osario,Hirostar,0,1
Kashiwave,V-Valor Nagano,5,1
Kawasari Foresta,Vegalia Senda,1,0
Shimizun,Sapporia,1,2
Koban,Yomoyama Mystic,0,2
Nagomi,Urawind,4,1
Savan Taurus,G-Olympus,3,0
Shonara,FC Torii,0,0
Yomoyama Mystic,Shimizun,1,2
V-Valor Nagano,Shonara,1,3
Sapporia,Koban,3,1
Yomoyama Mystic,Kashiwave,3,1
G-Olympus,Kawasari Foresta,2,0
Hirostar,Kashirama,3,1
Iwana,Nagomi,1,6
Urawind,C-Osario,1,2
Vegalia Senda,Shimizun,2,1
FC Torii,Savan Taurus,0,0
C-Osario,Iwana,1,1
Kashirama,Shonara,2,1
Vegalia Senda,FC Torii,1,0
Savan Taurus,Hirostar,1,0
Nagomi,V-Valor Nagano,3,4
Kashiwave,Shimizun,2,3
Kawasari Foresta,Sapporia,7,0
Koban,G-Olympus,1,2
Yomoyama Mystic,Urawind,1,2
Shimizun,G-Olympus,1,2
Kashiwave,Savan Taurus,1,1
Iwana,Yomoyama Mystic,1,2
V-Valor Nagano,Vegalia Senda,1,0
Hirostar,FC Torii,1,1
Kawasari Foresta,Nagomi,3,1
Shonara,C-Osario,1,1
Urawind,Koban,4,0
Sapporia,Kashirama,0,2
Shonara,Kawasari Foresta,0,0
Sapporia,Savan Taurus,2,1
Yomoyama Mystic,Vegalia Senda,5,2
G-Olympus,Hirostar,1,0
Koban,Kashirama,0,5
FC Torii,Shimizun,0,2
V-Valor Nagano,Kawasari Foresta,1,2
Urawind,Kashiwave,3,2
Yomoyama Mystic,Sapporia,2,1
C-Osario,G-Olympus,0,1
Hirostar,Kashiwave,0,3
Koban,V-Valor Nagano,1,1
Savan Taurus,Shonara,0,1
Kashirama,Kawasari Foresta,0,0
Vegalia Senda,Urawind,1,1
Shimizun,Iwana,5,1
Nagomi,FC Torii,1,2
Kashiwave,Nagomi,0,1
Shimizun,Hirostar,2,0
Vegalia Senda,Savan Taurus,2,3
G-Olympus,Yomoyama Mystic,2,1
Shonara,Sapporia,2,2
Urawind,Kashirama,3,1
FC Torii,C-Osario,0,1
Kawasari Foresta,Koban,5,3
V-Valor Nagano,Iwana,0,0
Nagomi,Sapporia,1,2
Iwana,Shonara,1,0
Kashirama,C-Osario,1,0
Shonara,Shimizun,0,0
Iwana,Hirostar,3,2
Kawasari Foresta,Kashiwave,3,0
Nagomi,Koban,1,2
Yomoyama Mystic,FC Torii,0,1
Urawind,G-Olympus,1,3
Sapporia,Vegalia Senda,1,0
Savan Taurus,V-Valor Nagano,1,0
C-Osario,Nagomi,0,1
Kashiwave,Kashirama,2,3
C-Osario,Kawasari Foresta,2,1
FC Torii,Iwana,0,0
Hirostar,Vegalia Senda,0,1
Koban,Savan Taurus,0,0
Sapporia,Urawind,1,2
Shimizun,Nagomi,2,0
V-Valor Nagano,Yomoyama Mystic,0,1
G-Olympus,Shonara,1,0
C-Osario,Kashiwave,0,3
FC Torii,Kawasari Foresta,0,2
G-Olympus,V-Valor Nagano,2,1
Hirostar,Nagomi,1,2
Iwana,Sapporia,0,2
Savan Taurus,Yomoyama Mystic,2,1
Shimizun,Koban,3,3
Shonara,Urawind,2,1
Vegalia Senda,Kashirama,0,3
Obiya Arcadia,Verdix,0,1
